"presenca" "NM_MUNICIP" "lat" "lon"
"253" "Absent" "FRUTAL" -20.02789 -49.0091
"254" "Absent" "FRUTAL" -20.02694 -48.9936
"255" "Absent" "FRUTAL" -20.00147 -49.0543
"256" "Present" "FRUTAL" -19.99035 -48.9119
"257" "Present" "FRUTAL" -19.99035 -48.9119
"258" "Absent" "FRUTAL" -19.9903 -48.9117
"259" "Absent" "FRUTAL" -19.97462 -49.011
"260" "Absent" "FRUTAL" -19.97124 -49.0106
"261" "Absent" "FRUTAL" -19.9711 -49.0106
"262" "Absent" "FRUTAL" -19.9685 -48.8531
"263" "Present" "FRUTAL" -19.92238 -48.8557
"264" "Absent" "FRUTAL" -19.91806 -48.9503
"265" "Absent" "MONTE ALEGRE DE MINAS" -18.94835 -48.99
"266" "Present" "JACUÍ" -21.05011 -46.8645
"267" "Present" "JACUÍ" -21.04225 -46.7678
"268" "Present" "FORTALEZA DE MINAS" -20.92493 -46.7995
"269" "Present" "FORTALEZA DE MINAS" -20.91217 -46.7122
"270" "Present" "GUARANÉSIA" -21.29558 -46.7798
"271" "Absent" "MUZAMBINHO" -21.34364 -46.61647
"272" "Absent" "GUAXUPÉ" -21.37781 -46.75712
"273" "Absent" "GUAXUPÉ" -21.34106 -46.74
"274" "Present" "GUAXUPÉ" -21.28631 -46.7356
"275" "Absent" "GUAXUPÉ" -21.33308 -46.7136
"276" "Absent" "GUAXUPÉ" -21.33236 -46.7133
"277" "Present" "GUAXUPÉ" -21.37635 -46.7086
"278" "Absent" "GUAXUPÉ" -21.32 -46.7079
"279" "Present" "GUAXUPÉ" -21.33441 -46.69177
"280" "Present" "GUAXUPÉ" -21.32461 -46.6884
"281" "Present" "PASSOS" -20.67539 -46.68833
"282" "Absent" "GUAXUPÉ" -21.27567 -46.6781
"283" "Present" "GUAXUPÉ" -21.28889 -46.6775
"284" "Present" "MONTE BELO" -21.23794 -46.3559
"285" "Absent" "ITAPECERICA" -20.44556 -44.9981
"286" "Absent" "ITAPECERICA" -20.42317 -44.9969
"287" "Absent" "ITAPECERICA" -20.44403 -44.9968
"288" "Absent" "ITAPECERICA" -20.44344 -44.9852
"289" "Absent" "ITAPECERICA" -20.4433 -44.985
"290" "Present" "ITAPECERICA" -20.44333 -44.9839
"291" "Absent" "ITAPECERICA" -20.44056 -44.9806
"292" "Absent" "ITAPECERICA" -20.4411 -44.9806
"293" "Absent" "PITANGUI" -19.59561 -44.95222
"294" "Absent" "PIEDADE DOS GERAIS" -20.48306 -44.2631
"295" "Present" "PIEDADE DOS GERAIS" -20.4939 -44.19
"296" "Present" "PIEDADE DOS GERAIS" -20.45444 -44.1733
"297" "Present" "CAPIM BRANCO" -19.54322 -44.17111
"298" "Absent" "PIEDADE DOS GERAIS" -20.4542 -44.1697
"299" "Present" "BONFIM" -20.38194 -44.1697
"300" "Absent" "CAPIM BRANCO" -19.55167 -44.16806
"301" "Present" "PRUDENTE DE MORAIS" -19.51408 -44.16528
"302" "Absent" "PIEDADE DOS GERAIS" -20.45456 -44.1629
"303" "Absent" "PRUDENTE DE MORAIS" -19.53692 -44.16278
"304" "Absent" "BELO VALE" -20.5083 -44.1581
"305" "Present" "CAPIM BRANCO" -19.59531 -44.15694
"306" "Present" "BELO VALE" -20.3653 -44.1522
"307" "Present" "BELO VALE" -20.36528 -44.1522
"308" "Present" "BELO VALE" -20.3911 -44.1519
"309" "Absent" "BELO VALE" -20.50871 -44.151
"310" "Present" "PEDRO LEOPOLDO" -19.64578 -44.14972
"311" "Present" "BONFIM" -20.42083 -44.1497
"312" "Present" "BELO VALE" -20.39111 -44.1494
"313" "Present" "BELO VALE" -20.44481 -44.1487
"314" "Present" "BELO VALE" -20.37083 -44.1486
"315" "Present" "CAPIM BRANCO" -19.55386 -44.1475
"316" "Present" "MATOZINHOS" -19.60011 -44.14639
"317" "Present" "MATOZINHOS" -19.60011 -44.14639
"318" "Present" "BELO VALE" -20.44333 -44.1456
"319" "Absent" "CAPIM BRANCO" -19.57861 -44.145
"320" "Absent" "PRUDENTE DE MORAIS" -19.50683 -44.14472
"321" "Present" "BELO VALE" -20.3928 -44.1444
"322" "Absent" "BELO VALE" -20.41667 -44.1425
"323" "Absent" "BELO VALE" -20.4425 -44.1422
"324" "Absent" "BELO VALE" -20.4425 -44.1422
"325" "Absent" "BELO VALE" -20.3681 -44.1419
"326" "Present" "CAPIM BRANCO" -19.56628 -44.14139
"327" "Present" "CAPIM BRANCO" -19.55614 -44.14111
"328" "Present" "BELO VALE" -20.44389 -44.1411
"329" "Absent" "BELO VALE" -20.44389 -44.1406
"330" "Absent" "BELO VALE" -20.45086 -44.1392
"331" "Present" "PRUDENTE DE MORAIS" -19.51378 -44.13861
"332" "Present" "BELO VALE" -20.41361 -44.1386
"333" "Absent" "BELO VALE" -20.41333 -44.1386
"334" "Absent" "BELO VALE" -20.4875 -44.1381
"335" "Absent" "BELO VALE" -20.44944 -44.1378
"336" "Absent" "CAPIM BRANCO" -19.56392 -44.13778
"337" "Absent" "BELO VALE" -20.43306 -44.1364
"338" "Present" "BELO VALE" -20.42233 -44.1359
"339" "Absent" "CAPIM BRANCO" -19.58175 -44.13528
"340" "Absent" "PRUDENTE DE MORAIS" -19.51075 -44.13528
"341" "Absent" "CAPIM BRANCO" -19.55456 -44.135
"342" "Absent" "BELO VALE" -20.43458 -44.13436
"343" "Present" "BELO VALE" -20.49528 -44.1335
"344" "Present" "BELO VALE" -20.42028 -44.1333
"345" "Absent" "BELO VALE" -20.43253 -44.1331
"346" "Present" "BELO VALE" -20.43306 -44.1328
"347" "Absent" "BELO VALE" -20.4031 -44.1328
"348" "Present" "BELO VALE" -20.39694 -44.1325
"349" "Present" "BELO VALE" -20.42861 -44.1308
"350" "Absent" "BELO VALE" -20.5069 -44.1306
"351" "Present" "BELO VALE" -20.40639 -44.1303
"352" "Present" "BELO VALE" -20.40583 -44.13
"353" "Present" "BELO VALE" -20.4269 -44.13
"354" "Present" "CAPIM BRANCO" -19.57303 -44.13
"355" "Absent" "CAPIM BRANCO" -19.57303 -44.13
"356" "Present" "BELO VALE" -20.37139 -44.1297
"357" "Present" "BELO VALE" -20.42711 -44.1293
"358" "Absent" "CAPIM BRANCO" -19.57889 -44.12889
"359" "Present" "BELO VALE" -20.4267 -44.1283
"360" "Present" "CAPIM BRANCO" -19.5725 -44.12778
"361" "Present" "BELO VALE" -20.37139 -44.1275
"362" "Absent" "CAPIM BRANCO" -19.59722 -44.12722
"363" "Absent" "CAPIM BRANCO" -19.59606 -44.12694
"364" "Absent" "BELO VALE" -20.46939 -44.1268
"365" "Present" "BELO VALE" -20.41819 -44.1261
"366" "Present" "BELO VALE" -20.40278 -44.1261
"367" "Absent" "CAPIM BRANCO" -19.57111 -44.12444
"368" "Absent" "BELO VALE" -20.39611 -44.1244
"369" "Present" "BELO VALE" -20.4275 -44.1233
"370" "Present" "BELO VALE" -20.45222 -44.1228
"371" "Absent" "CAPIM BRANCO" -19.56391 -44.12278
"372" "Absent" "BELO VALE" -20.42472 -44.1225
"373" "Absent" "BELO VALE" -20.38667 -44.1214
"374" "Present" "BELO VALE" -20.42472 -44.1212
"375" "Absent" "CAPIM BRANCO" -19.58944 -44.12111
"376" "Absent" "BELO VALE" -20.41056 -44.1211
"377" "Present" "BELO VALE" -20.39069 -44.1204
"378" "Present" "BELO VALE" -20.38989 -44.1203
"379" "Present" "CAPIM BRANCO" -19.54861 -44.11944
"380" "Present" "BELO VALE" -20.43306 -44.1186
"381" "Present" "PRUDENTE DE MORAIS" -19.50619 -44.11833
"382" "Absent" "BELO VALE" -20.39083 -44.1183
"383" "Present" "BELO VALE" -20.43833 -44.1175
"384" "Absent" "BELO VALE" -20.36719 -44.1149
"385" "Present" "PEDRO LEOPOLDO" -19.63281 -44.11472
"386" "Absent" "BELO VALE" -20.44278 -44.1147
